2.16.840.1.113883.12.168                          A                                                                          ASAP                                                                                                                                                                                                                                                           2.16.840.1.113883.3.42.127.100001.256             2                                                                          ASAP                                                                                                                                                                                                                                                           120140429160353893
2.16.840.1.113883.12.168                          C                                                                          CALLBACK                                                                                                                                                                                                                                                       2.16.840.1.113883.3.42.127.100001.256             6.5                                                                        NOTIFY AND ROUTINE                                                                                                                                                                                                                                             120140429160353938
2.16.840.1.113883.12.168                          P                                                                          PREOP                                                                                                                                                                                                                                                          2.16.840.1.113883.3.42.127.100001.256             3                                                                          PREOP                                                                                                                                                                                                                                                          120140429160353939
2.16.840.1.113883.12.168                          R                                                                          ROUTINE                                                                                                                                                                                                                                                        2.16.840.1.113883.3.42.127.100001.256             9                                                                          ROUTINE                                                                                                                                                                                                                                                        120140429160353943
2.16.840.1.113883.12.168                          S                                                                          STAT                                                                                                                                                                                                                                                           2.16.840.1.113883.3.42.127.100001.256             1                                                                          STAT                                                                                                                                                                                                                                                           120140429160353944
2.16.840.1.113883.12.488                          1                                                                          Send Patient to Lab                                                                                                                                                                                                                                            2.16.840.1.113883.3.42.127.100001.289             S                                                                          SEND PATIENT TO LAB                                                                                                                                                                                                                                            120140429160353945
2.16.840.1.113883.12.488                          2                                                                          Immediate Collect by blood team                                                                                                                                                                                                                                2.16.840.1.113883.3.42.127.100001.289             O                                                                          WARD/CLINIC COLLECT & DELIVER                                                                                                                                                                                                                                  120140429160353949
2.16.840.1.113883.12.488                          A                                                                          Add ordered tests to the existing specimen                                                                                                                                                                                                                     2.16.840.1.113883.3.42.127.100001.289             A                                                                          Add ordered tests to the existing specimen                                                                                                                                                                                                                     120140429160353949
2.16.840.1.113883.12.488                          G                                                                          Generated order;reflex order                                                                                                                                                                                                                                   2.16.840.1.113883.3.42.127.100001.289             G                                                                          Generated order;reflex order                                                                                                                                                                                                                                   120140429160353950
2.16.840.1.113883.12.488                          L                                                                          Lab to obtain specimen from patient                                                                                                                                                                                                                            2.16.840.1.113883.3.42.127.100001.289             L                                                                          LAB COLLECT                                                                                                                                                                                                                                                    120140429160353951
2.16.840.1.113883.12.488                          O                                                                          Specimen obtained by service other than Lab                                                                                                                                                                                                                    2.16.840.1.113883.3.42.127.100001.289             O                                                                          WARD/CLINIC COLLECT & DELIVER                                                                                                                                                                                                                                  120140429160354026
2.16.840.1.113883.12.488                          R                                                                          R                                                                                                                                                                                                                                                              2.16.840.1.113883.3.42.127.100001.289             R                                                                          R                                                                                                                                                                                                                                                              120140429160354027
2.16.840.1.113883.3.42.127.100001.256             1                                                                          STAT                                                                                                                                                                                                                                                           2.16.840.1.113883.12.168                          S                                                                          STAT                                                                                                                                                                                                                                                           120140429160354027
