Map_Schedule-Type-Codes_CHCS-Chicago_to_VistA-Chicago                                                                                                                                                                                                          2.16.840.1.113883.3.42.127.100001.294             Local_Schedule-Type-Codes_CHCS-Chicago            4.3.2.1.1                                         Local_Schedule-Type-Codes_VistA-Chicago           
Map_Site-Specimen-IENs_CHCS-Chicago_to_VistA-Chicago                                                                                                                                                                                                           2.16.840.1.113883.3.42.127.56.295                 Local_Site-Specimen-IENs_CHCS-Chicago             4.3.5.3                                           Local_Site-Specimen-IENs_VistA-Chicago            
Map_RAD-Procedure-IENs_VistA-Chicago_to_CHCS-Chicago                                                                                                                                                                                                           4.3.2.1.12                                        Local_RAD-Procedure-IENs_VistA-Chicago            2.16.840.1.113883.3.42.127.56.255                 Local_RAD-Procedure-IENs_CHCS-Chicago             
Map_Etiology-IENs_VistA-Chicago_to_CHCS-Chicago                                                                                                                                                                                                                4.3.2.1.17                                        Local_Etiology-IENs_VistA-Chicago                 2.16.840.1.113883.3.42.127.56.246                 Local_Etiology-IENs_CHCS-Chicago                  
Map_Micro-Result-Codes_CHCS-Chicago_to_VistA-Chicago                                                                                                                                                                                                           2.16.840.1.113883.3.42.127.56.296                 Local_Micro-Result-Codes_CHCS-Chicago             4.3.7.18                                          Local_Micro-Result-Codes_VistA-Chicago            
Map_Priority-Codes_CHCS-Chicago_to_Std                                                                                                                                                                                                                         2.16.840.1.113883.3.42.127.100001.256             Local_Priority-Codes_CHCS-Chicago                 2.16.840.1.113883.12.168                          Priority-Codes                                    
Map_Micro-Result-Codes_VistA-Chicago_to_CHCS-Chicago                                                                                                                                                                                                           4.3.7.18                                          Local_Micro-Result-Codes_VistA-Chicago            2.16.840.1.113883.3.42.127.56.296                 Local_Micro-Result-Codes_CHCS-Chicago             
Map_Collection-Sample-IENs_CHCS-Chicago_to_VistA-Chicago                                                                                                                                                                                                       2.16.840.1.113883.3.42.127.56.247                 Local_Collection-Sample-IENs_CHCS-Chicago         4.3.2.1.14                                        Local_Collection-Sample-IENs_VistA-Chicago        
Map_Collection-Sample-IENs_Vista-Chicago_to_CHCS-Chicago                                                                                                                                                                                                       4.3.2.1.14                                        Local_Collection-Sample-IENs_VistA-Chicago        2.16.840.1.113883.3.42.127.56.247                 Local_Collection-Sample-IENs_CHCS-Chicago         
Map_Lab-Test-IENs_CHCS-Chicago_to_VistA-Chicago                                                                                                                                                                                                                2.16.840.1.113883.3.42.127.56.281                 Local_Lab-Test-IENs_CHCS-Chicago                  4.3.2.1.9                                         Local_Lab-Test-IENs_VistA-Chicago                 
Map_User-IENs_CHCS-Chicago_to_VistA-Chicago                                                                                                                                                                                                                    2.16.840.1.113883.3.42.127.56.232                 Local_User-IENs_CHCS-Chicago                      4.3.2.1.13                                        Local_User-IENs_VistA-Chicago                     
Map_Result-Category-Codes_CHCS-Chicago_to_VistA-Chicago                                                                                                                                                                                                        2.16.840.1.113883.3.42.127.100001.293             Local_Result-Category-Codes_CHCS-Chicago          4.3.2.1.6                                         Local_Result-Category-Codes_VistA-Chicago         
Map_Lab-Test-IENs_VistA-Chicago_to_CHCS-Chicago                                                                                                                                                                                                                4.3.2.1.9                                         Local_Lab-Test-IENs_VistA-Chicago                 2.16.840.1.113883.3.42.127.56.281                 Local_Lab-Test-IENs_CHCS-Chicago                  
Map_Priority-Codes_Std_to_CHCS-Chicago                                                                                                                                                                                                                         2.16.840.1.113883.12.168                          Priority-Codes                                    2.16.840.1.113883.3.42.127.100001.256             Local_Priority-Codes_CHCS-Chicago                 
Map_RAD-Procedure-IENs_CHCS-Chicago_to_VistA-Chicago                                                                                                                                                                                                           2.16.840.1.113883.3.42.127.56.255                 Local_RAD-Procedure-IENs_CHCS-Chicago             4.3.2.1.12                                        Local_RAD-Procedure-IENs_VistA-Chicago            
